No,Code or Company's Name,Name,Listing Date,Share,Listing Board
67,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,"1,800,000,000",PENGEMBANGAN
68,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,"3,934,592,500",Utama
69,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,"13,061,141,834",Pengembangan
70,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,"661,784,520",Utama
71,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,"5,591,740,386",Pengembangan
72,BATA,Sepatu Bata Tbk.,24 Mar 1982,"1,300,000,000",Utama
73,BAYU,Bayu Buana Tbk,30 Okt 1989,"353,220,780",PENGEMBANGAN
74,BBCA,Bank Central Asia Tbk.,31 Mei 2000,"24,408,459,900",Utama
75,BBHI,Allo Bank Indonesia Tbk.,12 Ags 2015,"11,566,104,235",Pengembangan
76,BBKP,Bank KB Bukopin Tbk.,10 Jul 2006,"32,510,124,471",Utama
77,BBLD,Buana Finance Tbk.,07 Mei 1990,"1,645,796,054",Pengembangan
78,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,"4,049,189,100",Utama
79,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,"18,462,169,893",Utama
80,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,"122,112,351,900",Utama
81,BBRM,Pelayaran Nasional Bina Buana,09 Jan 2013,"5,367,076,248",Utama
82,BBSI,Bank Bisnis Internasional Tbk.,07 Sep 2020,"2,996,264,110",Pengembangan
83,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,"4,800,016,020",Pengembangan
84,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,"10,484,100,000",Utama
85,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,"7,419,574,447",UTAMA
86,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,"42,618,850,927",Utama
87,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,"9,912,003,256",Pengembangan
88,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,"1,429,915,525",PENGEMBANGAN
89,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,"9,675,817,341",Utama
90,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,"9,000,000,000",PENGEMBANGAN
91,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,"1,884,312,595",PENGEMBANGAN
92,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,"43,403,920,512",Pengembangan
93,BELL,Trisula Textile Industries Tbk,03 Okt 2017,"7,250,000,000",PENGEMBANGAN
94,BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,"3,407,735,254",Pengembangan
95,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,"9,647,311,150",Utama
96,BFIN,BFI Finance Indonesia Tbk.,16 Mei 1990,"15,967,115,620",Utama
97,BGTG,Bank Ganesha Tbk.,12 Mei 2016,"11,063,309,400",Pengembangan
98,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,"5,000,000,000",Pengembangan
99,BHIT,MNC Investama Tbk.,24 Nov 1997,"73,766,098,834",Utama
100,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,"592,280,000",Pengembangan
101,BIMA,Primarindo Asia Infrastructure,30 Ags 1994,"608,175,716",Pengembangan
102,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,"5,597,831,250",Utama
103,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,"44,693,066,193",PENGEMBANGAN
104,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,"5,028,669,366",Pengembangan
105,BIRD,Blue Bird Tbk.,05 Nov 2014,"2,502,100,000",UTAMA
106,BISI,BISI International Tbk.,28 Mei 2007,"3,000,000,000",UTAMA
107,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,"9,740,399,289",Utama
108,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,"14,865,343,101",Utama
109,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,"7,513,992,252",PENGEMBANGAN
110,BKSL,Sentul City Tbk.,28 Jul 1997,"67,083,561,082",UTAMA
111,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,"20,232,319,124",Pengembangan
112,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,"25,940,187,103",UTAMA
113,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,"873,937,142",Pengembangan
114,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,"418,000,000",PENGEMBANGAN
115,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,"4,399,026,922",Pengembangan
116,BMHS,Bundamedik Tbk.,06 Jul 2021,"8,603,416,176",Utama
117,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,"46,199,999,998",Utama
118,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,"1,159,200,024",Utama
119,BMTR,Global Mediacom Tbk.,17 Jul 1995,"16,583,997,586",Utama
120,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,"2,286,900,000",Utama
121,BNBR,Bakrie & Brothers Tbk,28 Ags 1989,"21,160,865,261",Pengembangan
122,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,"24,880,290,775",Utama
123,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,"75,357,433,911",Utama
124,BNLI,Bank Permata Tbk.,15 Jan 1990,"35,819,545,925",Utama
125,BOGA,Bintang Oto Global Tbk.,19 Des 2016,"3,803,526,210",Pengembangan
126,BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,"6,000,000,000",PENGEMBANGAN
127,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,"2,343,750,000",PENGEMBANGAN
128,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,"1,400,000,000",Pengembangan
129,BPFI,Batavia Prosperindo Finance Tb,01 Jun 2009,"1,782,663,575",Pengembangan
130,BPII,Batavia Prosperindo Internasio,08 Jul 2014,"562,224,662",PENGEMBANGAN
131,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,"1,550,000,000",UTAMA
132,BRAM,Indo Kordsa Tbk.,05 Sep 1990,"450,000,000",UTAMA
133,BRIS,Bank Syariah Indonesia Tbk.,09 Mei 2018,"40,717,485,772",Utama
134,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,"93,907,762,380",Pengembangan
135,BRNA,Berlina Tbk.,06 Nov 1989,"979,110,000",PENGEMBANGAN
136,BRPT,Barito Pacific Tbk.,01 Okt 1993,"93,747,218,044",Utama
137,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,"21,171,365,812",Utama
138,BSIM,Bank Sinarmas Tbk.,13 Des 2010,"19,517,921,842",UTAMA
139,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,"2,616,500,000",Pengembangan
