No,Code or Company's Name,Name,Listing Date,Share,Listing Board
294,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,"3,550,001,452",UTAMA
295,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,"5,958,750,000",PENGEMBANGAN
296,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,"4,605,262,400",Utama
297,HRUM,Harum Energy Tbk.,06 Okt 2010,"2,703,620,000",UTAMA
298,IATA,Indonesia Transport & Infrastr,13 Sep 2006,"10,697,665,114",PENGEMBANGAN
299,IBFN,Intan Baruprana Finance Tbk.,22 Des 2014,"1,517,321,249",PENGEMBANGAN
300,IBST,Inti Bangun Sejahtera Tbk.,31 Ags 2012,"1,350,904,927",UTAMA
301,ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,"11,661,908,000",Utama
302,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,"1,089,750,000",Pengembangan
303,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,"2,003,000,000",UTAMA
304,IFII,Indonesia Fibreboard Industry,10 Des 2019,"9,412,000,000",UTAMA
305,IFSH,Ifishdeco Tbk.,05 Des 2019,"2,125,000,000",PENGEMBANGAN
306,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,"972,204,500",Utama
307,IIKP,Inti Agri Resources Tbk,14 Okt 2002,"33,600,000,000",Pengembangan
308,IKAI,Intikeramik Alamasri Industri,04 Jun 1997,"13,305,799,387",UTAMA
309,IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,"833,333,000",PENGEMBANGAN
310,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,"1,224,000,000",PENGEMBANGAN
311,IMAS,Indomobil Sukses Internasional,15 Nov 1993,"3,994,291,039",UTAMA
312,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,"8,654,325,000",Utama
313,IMPC,Impack Pratama Industri Tbk.,17 Des 2014,"4,833,500,000",Pengembangan
314,INAF,Indofarma Tbk.,17 Apr 2001,"3,099,267,500",Utama
315,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,"633,600,000",PENGEMBANGAN
316,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,"1,438,370,465",PENGEMBANGAN
317,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,"196,121,237",UTAMA
318,INCO,Vale Indonesia Tbk.,16 Mei 1990,"9,936,338,720",Utama
319,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,"8,780,426,500",Utama
320,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,"4,312,067,205",PENGEMBANGAN
321,INDR,Indo-Rama Synthetics Tbk.,03 Ags 1990,"654,351,707",UTAMA
322,INDS,Indospring Tbk.,10 Ags 1990,"656,249,710",UTAMA
323,INDX,Tanah Laut Tbk,17 Mei 2001,"437,913,588",Pengembangan
324,INDY,Indika Energy Tbk.,11 Jun 2008,"5,210,192,000",Utama
325,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,"5,470,982,941",Utama
326,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,"1,808,221,900",PENGEMBANGAN
327,INPC,Bank Artha Graha Internasional,23 Ags 1990,"15,824,882,541",UTAMA
328,INPP,Indonesian Paradise Property T,12 Jan 2004,"11,181,971,732",PENGEMBANGAN
329,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,"650,000,000",PENGEMBANGAN
330,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,"1,388,883,283",PENGEMBANGAN
331,INTA,Intraco Penta Tbk.,23 Ags 1993,"3,343,935,022",Pengembangan
332,INTD,Inter Delta Tbk,18 Des 1989,"591,828,000",PENGEMBANGAN
333,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,"3,681,231,699",UTAMA
334,IPAC,Era Graharealty Tbk.,30 Jun 2021,"949,868,500",Akselerasi
335,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,"1,818,384,820",Utama
336,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,"5,284,811,100",Utama
337,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,"6,443,379,509",UTAMA
338,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,"42,197,950,841",Utama
339,IRRA,Itama Ranoraya Tbk.,15 Okt 2019,"1,600,000,000",Pengembangan
340,ISAT,Indosat Tbk.,19 Okt 1994,"5,433,933,500",Utama
341,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,"7,185,992,035",Utama
342,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,"940,720,000",PENGEMBANGAN
343,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,"870,701,000",Pengembangan
344,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,"1,129,925,000",UTAMA
345,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,"813,626,700",Pengembangan
346,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,"3,774,685,500",UTAMA
347,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,"375,000,105",Pengembangan
348,JECC,Jembo Cable Company Tbk.,18 Nov 1992,"151,200,000",PENGEMBANGAN
349,JGLE,Graha Andrasentra Propertindo,29 Jun 2016,"22,581,909,405",PENGEMBANGAN
350,JIHD,Jakarta International Hotels &,29 Feb 1984,"2,329,040,482",PENGEMBANGAN
351,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,"16,308,519,860",UTAMA
352,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Ags 1997,"150,000,000",Pengembangan
353,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,"1,000,000,000",Pengembangan
354,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,"11,726,575,201",Utama
355,JRPT,Jaya Real Property Tbk.,29 Jun 1994,"13,750,000,000",Utama
356,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,"2,032,540,000",Utama
357,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,"7,257,871,200",Utama
358,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,"2,318,736,000",Pengembangan
359,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,"1,713,012,500",Pengembangan
360,KAEF,Kimia Farma Tbk.,04 Jul 2001,"5,554,000,000",Utama
361,KARW,ICTSI Jasa Prima Tbk.,20 Des 1994,"587,152,700",PENGEMBANGAN
362,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,"665,000,000",Pengembangan
363,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,"7,150,001,106",PENGEMBANGAN
364,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,"4,007,235,107",Utama
365,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,"1,120,000,000",PENGEMBANGAN
366,KBLV,First Media Tbk.,25 Feb 2000,"1,742,167,907",Pengembangan
367,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,"8,687,995,734",PENGEMBANGAN
368,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,"405,000,000",Pengembangan
369,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,"3,666,312,500",Utama
370,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,"1,500,000,000",Pengembangan
371,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,"14,929,100,000",PENGEMBANGAN
372,KICI,Kedaung Indah Can Tbk,28 Okt 1993,"276,000,000",UTAMA
373,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,"20,824,888,369",UTAMA
374,KINO,Kino Indonesia Tbk.,11 Des 2015,"1,428,571,500",UTAMA
375,KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,"717,239,900",Pengembangan
376,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,"500,000,000",PENGEMBANGAN
377,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,"5,000,000,000",UTAMA
378,KLBF,Kalbe Farma Tbk.,30 Jul 1991,"46,875,122,110",Utama
379,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,"800,000,000",PENGEMBANGAN
380,KMTR,Kirana Megatara Tbk.,19 Jun 2017,"8,215,366,379",Pengembangan
381,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,"2,272,500,000",UTAMA
382,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,"980,843,732",PENGEMBANGAN
383,KONI,Perdana Bangun Pusaka Tbk,22 Ags 1995,"252,000,000",PENGEMBANGAN
384,KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,"697,266,668",PENGEMBANGAN
385,KOTA,DMS Propertindo Tbk.,09 Jul 2019,"10,546,185,701",UTAMA
386,KPAL,Steadfast Marine Tbk.,08 Jun 2018,"1,069,009,400",UTAMA
387,KPAS,Cottonindo Ariesta Tbk.,05 Okt 2018,"768,042,959",Pengembangan
388,KPIG,MNC Land Tbk.,30 Mar 2000,"80,625,726,664",Pengembangan
389,KRAH,Grand Kartech Tbk.,08 Nov 2013,"971,190,000",Pengembangan
390,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,"19,346,396,900",Utama
391,KREN,Kresna Graha Investama Tbk.,28 Jun 2002,"18,208,470,100",UTAMA
392,LABA,Ladangbaja Murni Tbk.,10 Jun 2021,"1,000,000,000",Pengembangan
393,LAND,Trimitra Propertindo Tbk.,23 Ags 2018,"2,792,620,000",PENGEMBANGAN
394,LAPD,Leyand International Tbk.,17 Jul 2001,"3,966,350,139",Pengembangan
395,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,"5,630,000,914",Pengembangan
396,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,"1,000,000,000",Pengembangan
397,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,"4,049,616,328",UTAMA
398,LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,"1,300,000,000",AKSELERASI
399,LIFE,Asuransi Jiwa Sinarmas MSIG Tb,09 Jul 2019,"2,100,000,000",Utama
400,LINK,Link Net Tbk.,02 Jun 2014,"2,863,195,484",UTAMA
401,LION,Lion Metal Works Tbk.,20 Ags 1993,"520,160,000",UTAMA
402,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,"787,851,525",Pengembangan
403,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,"1,008,517,669",PENGEMBANGAN
404,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,"96,000,000",PENGEMBANGAN
405,LPCK,Lippo Cikarang Tbk,24 Jul 1997,"2,679,600,000",Utama
406,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,"150,000,000",UTAMA
407,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,"425,000,000",Pengembangan
408,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,"70,898,018,369",Utama
409,LPLI,Star Pacific Tbk,23 Okt 1989,"1,170,432,803",Pengembangan
410,LPPF,Matahari Department Store Tbk.,09 Okt 1989,"2,626,148,780",Utama
411,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,"2,588,250,000",PENGEMBANGAN
412,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,"350,000,022",PENGEMBANGAN
413,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,"6,822,863,965",Utama
414,LTLS,Lautan Luas Tbk.,21 Jul 1997,"1,560,000,000",Utama
415,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,"715,749,640",PENGEMBANGAN
416,LUCY,Lima Dua Lima Tiga Tbk.,05 Mei 2021,"1,035,000,000",AKSELERASI
417,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,"15,365,229,912",PENGEMBANGAN
418,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,"9,000,000,004",PENGEMBANGAN
419,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,"2,238,750,000",Utama
420,MAMI,Mas Murni Indonesia Tbk,09 Feb 1994,"12,299,116,371",UTAMA
421,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,"2,850,400,000",PENGEMBANGAN
422,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,"2,170,922,900",PENGEMBANGAN
423,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,"16,600,000,000",UTAMA
424,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,"5,252,644,000",PENGEMBANGAN
425,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,"3,800,000,310",UTAMA
426,MASA,Multistrada Arah Sarana Tbk.,09 Jun 2005,"9,182,946,945",Utama
427,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,"1,226,902,970",Pengembangan
428,MAYA,Bank Mayapada Internasional Tb,29 Ags 1997,"11,714,045,161",UTAMA
429,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,"1,227,271,952",PENGEMBANGAN
430,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,"1,750,026,639",UTAMA
431,MBTO,Martina Berto Tbk.,13 Jan 2011,"1,070,000,000",UTAMA
432,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,"867,933,300",Pengembangan
433,MCOR,Bank China Construction Bank I,03 Jul 2007,"37,540,533,209",UTAMA
434,MDIA,Intermedia Capital Tbk.,11 Apr 2014,"39,215,538,400",UTAMA
435,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,"22,904,850,815",Pengembangan
436,MDKI,Emdeki Utama Tbk.,25 Sep 2017,"2,530,150,002",Utama
437,MDLN,Modernland Realty Tbk.,18 Jan 1993,"12,533,067,322",Utama
438,MDRN,Modern Internasional Tbk.,16 Jul 1991,"7,632,167,798",UTAMA
439,MEDC,Medco Energi Internasional Tbk,12 Okt 1994,"25,136,231,252",Utama
440,MEGA,Bank Mega Tbk.,17 Apr 2000,"6,894,138,227",UTAMA
441,MERK,Merck Tbk.,23 Jul 1981,"448,000,000",PENGEMBANGAN
442,META,Nusantara Infrastructure Tbk.,18 Jul 2001,"17,710,708,194",UTAMA
443,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,"2,650,000,000",Pengembangan
444,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,"757,581,000",PENGEMBANGAN
445,MGLV,Panca Anugrah Wisesa Tbk.,08 Jun 2021,"1,900,000,000",Akselerasi
446,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,"1,003,080,977",Pengembangan
447,MGRO,Mahkota Group Tbk.,12 Jul 2018,"3,554,445,700",UTAMA
448,MICE,Multi Indocitra Tbk.,21 Des 2005,"600,000,000",PENGEMBANGAN
449,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,"2,882,353,000",PENGEMBANGAN
450,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,"14,246,349,500",Utama
451,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,"6,562,500,000",Pengembangan
452,MIRA,Mitra International Resources,30 Jan 1997,"3,961,452,039",Pengembangan
453,MITI,Mitra Investindo Tbk.,16 Jul 1997,"2,442,988,366",Pengembangan
454,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,"5,500,000,000",Pengembangan
455,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,"948,194,000",PENGEMBANGAN
456,MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,"2,107,000,000",UTAMA
457,MLIA,Mulia Industrindo Tbk,17 Jan 1994,"1,323,000,000",PENGEMBANGAN
458,MLPL,Multipolar Tbk.,06 Nov 1989,"14,639,632,470",Utama
459,MLPT,Multipolar Technology Tbk.,08 Jul 2013,"1,875,000,000",Utama
460,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,"6,889,134,608",Pengembangan
461,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,"15,049,787,710",Utama
462,MOLI,Madusari Murni Indah Tbk.,30 Ags 2018,"2,334,888,498",PENGEMBANGAN
463,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,"4,462,963,276",UTAMA
464,MPOW,Megapower Makmur Tbk.,05 Jul 2017,"816,997,053",PENGEMBANGAN
465,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,"7,529,147,920",Utama
466,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,"9,942,500,000",PENGEMBANGAN
467,MRAT,Mustika Ratu Tbk.,27 Jul 1995,"428,000,000",UTAMA
468,MREI,Maskapai Reasuransi Indonesia,04 Sep 1989,"517,791,681",Pengembangan
469,MSIN,MNC Studios International Tbk.,08 Jun 2018,"11,444,400,000",Utama
470,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,"1,994,370,480",UTAMA
471,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,"2,455,376,917",Utama
472,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,"31,842,082,852",Pengembangan
473,MTLA,Metropolitan Land Tbk.,20 Jun 2011,"7,655,126,330",UTAMA
474,MTPS,Meta Epsi Tbk.,10 Apr 2019,"2,084,850,829",PENGEMBANGAN
475,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,"770,000,000",PENGEMBANGAN
476,MTSM,Metro Realty Tbk.,08 Jan 1992,"232,848,000",PENGEMBANGAN
477,MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,"1,525,819,116",Pengembangan
478,MYOH,Samindo Resources Tbk.,27 Jul 2000,"2,206,312,500",Utama
479,MYOR,Mayora Indah Tbk.,04 Jul 1990,"22,358,699,725",UTAMA
480,MYRX,Hanson International Tbk.,31 Okt 1990,"86,703,220,792",PENGEMBANGAN
481,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,"7,747,281,949",UTAMA
482,NASA,Andalan Perkasa Abadi Tbk.,07 Ags 2017,"11,004,929,322",Pengembangan
483,NATO,Surya Permata Andalan Tbk.,18 Jan 2019,"8,001,094,704",Pengembangan
484,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,"2,350,000,000",PENGEMBANGAN
485,NFCX,NFC Indonesia Tbk.,12 Jul 2018,"666,667,500",Pengembangan
486,NICK,Charnic Capital Tbk.,02 Mei 2018,"651,150,000",PENGEMBANGAN
487,NICL,PAM Mineral Tbk.,09 Jul 2021,"9,662,500,000",Pengembangan
488,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,"2,523,350,000",UTAMA
489,NIPS,Nipress Tbk.,24 Jul 1991,"1,635,333,332",Pengembangan
490,NIRO,City Retail Developments Tbk.,13 Sep 2012,"22,198,871,804",PENGEMBANGAN
491,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,"22,715,776,032",Utama
492,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,"4,393,533,177",UTAMA
493,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,"3,240,235,840",UTAMA
494,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,"2,496,258,344",UTAMA
495,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,"7,700,000,148",Pengembangan
496,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,"2,197,540,705",UTAMA
497,OASA,Protech Mitra Perkasa Tbk.,18 Jul 2016,"358,600,000",PENGEMBANGAN
498,OCAP,Onix Capital Tbk.,10 Okt 2003,"273,200,000",Pengembangan
499,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,"1,765,927,777",PENGEMBANGAN
500,OMRE,Indonesia Prima Property Tbk,22 Ags 1994,"1,745,000,000",Pengembangan
501,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,"1,000,000,000",PENGEMBANGAN
502,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,"11,307,246,524",UTAMA
503,PALM,Provident Agro Tbk.,08 Okt 2012,"7,119,540,356",Pengembangan
504,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,"3,125,000,000",UTAMA
505,PANI,Pratama Abadi Nusa Industri Tb,18 Sep 2018,"410,000,000",Pengembangan
506,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,"1,200,000,000",Utama
507,PANS,Panin Sekuritas Tbk.,31 Mei 2000,"720,000,000",Utama
508,PBID,Panca Budi Idaman Tbk.,13 Des 2017,"1,875,000,000",UTAMA
509,PBRX,Pan Brothers Tbk.,16 Ags 1990,"6,478,295,611",Utama
510,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,"1,500,000,000",UTAMA
511,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,"1,166,666,700",PENGEMBANGAN
512,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,"715,000,000",PENGEMBANGAN
513,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,"2,833,417,056",Pengembangan
514,PEHA,Phapros Tbk.,26 Des 2018,"840,000,000",UTAMA
515,PGAS,Perusahaan Gas Negara Tbk.,15 Des 2003,"24,241,508,196",UTAMA
516,PGJO,Tourindo Guide Indonesia Tbk.,08 Jan 2020,"723,859,095",AKSELERASI
517,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,"488,000,000",PENGEMBANGAN
518,PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,"4,998,360,000",UTAMA
519,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,"568,375,000",PENGEMBANGAN
520,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,"1,599,999,996",Utama
521,PKPK,Perdana Karya Perkasa Tbk,11 Jul 2007,"600,000,000",PENGEMBANGAN
522,PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,"892,856,802",AKSELERASI
523,PLAS,Polaris Investama Tbk,16 Mar 2001,"1,184,200,000",PENGEMBANGAN
524,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,"3,550,000,000",UTAMA
525,PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,"13,755,600,000",Pengembangan
526,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,"2,353,000,000",Utama
527,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,"23,837,645,998",UTAMA
528,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,"38,425,504,906",UTAMA
529,PNGO,Pinago Utama Tbk.,31 Ags 2020,"781,250,000",PENGEMBANGAN
530,PNIN,Paninvest Tbk.,20 Sep 1983,"4,068,323,920",UTAMA
531,PNLF,Panin Financial Tbk.,14 Jun 1983,"32,022,073,293",UTAMA
532,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,"797,813,496",PENGEMBANGAN
533,POLA,Pool Advista Finance Tbk.,16 Nov 2018,"2,727,886,300",PENGEMBANGAN
534,POLI,Pollux Investasi Internasional,10 Jan 2019,"2,010,526,400",PENGEMBANGAN
535,POLL,Pollux Properti Indonesia Tbk.,11 Jul 2018,"8,318,823,600",Utama
536,POLU,Golden Flower Tbk.,26 Jun 2019,"750,000,000",PENGEMBANGAN
537,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,"2,495,753,334",PENGEMBANGAN
538,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,"2,341,366,264",PENGEMBANGAN
539,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,"2,813,941,985",Pengembangan
540,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,"8,388,870,206",Pengembangan
541,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,"16,087,156,000",PENGEMBANGAN
542,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,"750,020,041",Akselerasi
543,PPRE,PP Presisi Tbk.,24 Nov 2017,"10,224,271,000",Utama
544,PPRO,PP Properti Tbk.,19 Mei 2015,"61,675,671,883",Utama
545,PRAS,Prima Alloy Steel Universal Tb,12 Jul 1990,"701,043,478",Utama
546,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,"937,500,000",Utama
547,PRIM,Royal Prima Tbk.,15 Mei 2018,"3,393,434,905",PENGEMBANGAN
548,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,"26,460,000,000",Pengembangan
549,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,"1,440,000,000",PENGEMBANGAN
550,PSGO,Palma Serasih Tbk.,25 Nov 2019,"18,850,000,000",PENGEMBANGAN
551,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,"10,351,231,636",PENGEMBANGAN
552,PSSI,Pelita Samudera Shipping Tbk.,05 Des 2017,"5,417,063,153",Utama
553,PTBA,Bukit Asam Tbk.,23 Des 2002,"11,520,659,250",Utama
554,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,"1,500,000,000",Pengembangan
555,PTIS,Indo Straits Tbk.,12 Jul 2011,"550,165,300",Utama
556,PTPP,PP (Persero) Tbk.,09 Feb 2010,"6,199,897,354",Utama
557,PTPW,Pratama Widya Tbk.,07 Feb 2020,"878,187,500",PENGEMBANGAN
558,PTRO,Petrosea Tbk.,21 Mei 1990,"1,008,605,000",Utama
559,PTSN,Sat Nusapersada Tbk,08 Nov 2007,"5,314,344,000",UTAMA
560,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,"220,808,000",PENGEMBANGAN
561,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,"329,560,000",UTAMA
562,PURA,Putra Rajawali Kencana Tbk.,22 Jan 2020,"5,774,442,831",Pengembangan
563,PURE,Trinitan Metals and Minerals T,09 Okt 2019,"1,375,181,505",Utama
564,PURI,Puri Global Sukses Tbk.,08 Sep 2020,"1,000,000,000",PENGEMBANGAN
565,PWON,Pakuwon Jati Tbk.,09 Okt 1989,"48,159,602,400",UTAMA
566,PYFA,Pyridam Farma Tbk,16 Okt 2001,"535,080,000",PENGEMBANGAN
567,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,"3,021,875,000",UTAMA
568,RAJA,Rukun Raharja Tbk.,19 Apr 2006,"4,227,082,500",Utama
569,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,"7,096,000,000",Utama
570,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,"1,564,487,500",UTAMA
571,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,"2,656,212,826",UTAMA
572,RDTX,Roda Vivatex Tbk,14 Mei 1990,"268,800,000",Utama
573,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,"6,633,610,151",Pengembangan
574,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,"1,800,000,000",UTAMA
575,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,"641,717,510",UTAMA
576,RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,"609,130,000",PENGEMBANGAN
577,RIMO,Rimo International Lestari Tbk,10 Nov 2000,"45,080,600,000",Pengembangan
578,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,"9,950,000,000",Pengembangan
579,RMBA,Bentoel Internasional Investam,05 Mar 1990,"36,401,136,250",Utama
580,ROCK,Rockfields Properti Indonesia,10 Sep 2020,"1,435,185,100",Pengembangan
581,RODA,Pikko Land Development Tbk.,22 Okt 2001,"13,592,128,209",PENGEMBANGAN
582,RONY,Aesler Grup Internasional Tbk.,09 Apr 2020,"1,250,000,000",PENGEMBANGAN
583,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,"6,186,488,888",Utama
584,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,"770,000,000",Pengembangan
585,SAFE,Steady Safe Tbk,15 Ags 1994,"615,145,012",PENGEMBANGAN
586,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,"17,113,987,263",Pengembangan
587,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,"5,125,000,000",Utama
588,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,"833,333,300",Pengembangan
